Site ID,Lat,Long,GenusRich,sqrtGenusRich,PAR,PHOS,SALINITY,SST.MEAN,SST.MAX,SST.MIN,SST.RANGE
1,12.47,53.87,60,7.75,48.05,0.46,35,26.05,29.71,23.95,5.29
2,-26.01,32.58,116,10.77,40.07,0.21,35,24.21,28.26,21.71,5.91
3,-33,17.56,73,8.54,41.38,0.65,34.84,16.39,18.51,15.41,2.53
4,39.13,4.23,167,12.92,36.14,0.11,37,19,26.42,14.01,12
5,42.86,5.2,176,13.27,34.74,0.21,37.19,16.72,22.71,12.73,9.5
6,40.84,11.41,166,12.88,35.3,0.13,37.13,18.89,25.91,13.65,11.94
7,39.81,3.6,139,11.79,35.18,0.13,37,19,26.43,13.64,12.11
8,40.82,8.74,163,12.77,35.49,0.14,37.76,18.04,25.25,12.9,11.78
9,37.32,13.45,168,12.96,37.71,0.09,37,19,25.32,14.54,10.22
10,43.02,15.45,163,12.77,34.03,0.05,37.9,18,25.41,13.18,11.61
11,38.35,23.39,146,12.08,35.8,0.14,36.8,18.83,26.58,13.24,12.78
13,34.8,9.98,122,11.05,40.1,0.05,36.4,20.9,28.69,14.19,14
14,33.65,35.13,108,10.39,40.49,0.11,39,22,28.56,17.34,11
15,31.25,29.62,86,9.27,42.55,0.11,39,22.01,27.79,17.2,10.3
16,32.18,18.3,133,11.53,41.26,0.1,38,21,27.68,16.54,10.77
17,36.41,18.3,113,10.63,38.08,0.12,38,20,27.31,14.98,12
18,36.71,4.3,136,11.66,37.11,0.05,36,19.04,25.87,14.87,10.54
19,36.28,0.63,80,8.94,38.43,0.06,36,19,25.1,14.83,9.74
20,-8.12,156.83,28,5.29,42.52,0.19,34,29.79,31.01,29.01,1.51
21,-9.05,159.15,50,7.07,44.45,0.19,34,29.69,31.01,29.02,1.46
22,-8.63,158.15,62,7.87,43.01,0.19,34,29.8,31.08,28.9,1.67
23,-9.07,160.14,45,6.71,43.83,0.19,34,29.89,31.12,29.16,1.43
24,-9.59,160.18,89,9.43,42.33,0.19,34,29.46,31.13,28.77,1.96
25,-10.44,162,15,3.87,41.47,0.19,34,29,30.72,28.49,1.88
26,-5.09,119.28,84,9.17,45.53,0.27,33,29.17,31.06,28.1,2.36
27,-5.15,145.82,130,11.4,44.74,0.15,34,29.11,30.9,28.54,1.93
28,16.75,-88.08,106,10.3,42.09,0.09,36,28.03,30.51,26.59,3.3
29,-6,72,40,6.32,44.99,0.22,34,28.19,30.24,27.7,2.02
30,19.74,-87.67,57,7.55,42.77,0.09,36,27.28,30.15,26.39,3.4
31,-12.5,177.08,61,7.81,42.97,0.25,34,29,30.43,28.27,1.87
32,35.92,14.42,154,12.41,38.98,0.09,37,20,26.69,15.01,11
33,14.7,-17.21,103,10.15,46.21,0.43,35,23.64,28.67,19.39,8.77
34,43.37,-8.38,171,13.08,30.89,0.14,35,14.69,18.57,12.6,5.43
35,25.63,122.07,31,5.57,30.69,0.19,33.64,24.52,28.62,21.13,6.93
36,12.52,-82.71,56,7.48,41.05,0.08,35,28,29.61,27.07,2.1
37,20.3,-156.25,68,8.25,45.6,0.19,34,25.13,26.97,24.55,2.01
38,21.53,121.35,65,8.06,37.35,0.12,34,26.99,29.69,24.67,4.54
39,22.38,121.3,82,9.06,35.1,0.13,33.84,26.96,29.76,24.48,4.88
40,19.87,-16.62,76,8.72,45.62,0.8,35,21.38,25.97,18.58,6.85
41,-27.12,-109.37,85,9.22,40.71,0.3,35,22.22,25.91,20.47,5
42,-33.49,26.17,66,8.12,37.95,0.36,35,19.24,22.36,17.65,4.1
43,36.17,133.17,135,11.62,31,0.19,33.5,18.12,27.05,12.01,14.43
44,26.68,49.98,44,6.63,42.98,0.2,37,26,33.37,18.55,14.38
45,7.58,-12.18,72,8.49,42.46,0.17,34.88,27.88,29.34,26.92,1.96
46,-21.15,-159.45,43,6.56,39.99,0.16,35,26,28.17,24.52,3
47,-29.05,167.59,142,11.92,39.76,0.2,35,21,24.1,18.92,4.92
48,9.33,-79.37,107,10.34,40.57,0.13,34.26,28.14,30.15,27.15,2.33
49,-16.3,-151.45,14,3.74,43.6,0.27,35,28,29.57,26.94,2
51,-23.1,-135,2,1.41,40.6,0.27,35,25,27.57,23.47,3.68
52,-18.04,-141,2,1.41,43.49,0.32,36,27,28.88,26,2.12
53,-16.45,-151,4,2,43.63,0.27,35,28,29.49,26.84,2
54,-15.47,-145.1,8,2.83,44.97,0.34,35.34,28,29.3,26.98,2
55,-16.1,-148.14,14,3.74,44.05,0.3,35,28,29.43,26.95,2
56,-9.22,-140.01,5,2.24,48.78,0.47,35,27.89,28.97,27.39,1
57,-14.49,-148.34,13,3.61,45.13,0.33,35,28,29.51,27.38,1.98
58,-17.29,-149.52,89,9.43,43.49,0.27,35,27.97,29.41,26.68,2.03
59,-22,-140,14,3.74,40.94,0.28,35,25.47,27.85,24.15,3
60,-16.4,-142.5,5,2.24,44.55,0.34,36,27.23,29.08,26.53,2
61,-15,-147.4,6,2.45,44.76,0.33,35,28,29.55,27.21,2
